Question;Answer;CorrectAnswer;MultiAnswer
Альтернативой какой концепции Java является Spring Framework?;JSP;false;false
;JSA;false;
;JEE;false;
;EJB;true;
Какой стартер позволяет работать с Spring Data JPA?;spring-boot-starter-hibernate;false;false
;spring-boot-starter-data-jpa;true;
;spring-boot-starter-data;false;
;spring-boot-starter-orm;false;
Как Spring Boot определяет к какому методу класса-контроллера нужно обратиться при запросе от пользователя?;При помощи контекста приложения;false;false
;При помощи аннотации @Controller;false;
;При помощи описанной в DispatcherServlet логики;false;
;При помощи аннотации @RequestMapping;true;
Каким образом Spring Boot определяет корневой пакет, в котором необходимо искать бины, если не указана аннотация @ComponentScan?;орнем является папка src/main/java;false;false
;Корнем является пакет, в котором лежит класс, помечанной аннотацией @SpringBootApplication;true;
;Корнем является самый первый пакет в папке src/main/java;false;
;Если аннотация @ComponentScan не указана, то при запуске приложение выдаст ошибку;false;

